Country Name,Indicator Name,Indicator Code,Year,Date,Value
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1960,1960-01-01,NA
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1961,1961-01-01,3.429674015
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1962,1962-01-01,4.109158606
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1963,1963-01-01,4.405974199
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1964,1964-01-01,2.209327502
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1965,1965-01-01,1.36899887
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1966,1966-01-01,-4.25829037
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1967,1967-01-01,3.07536405
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1968,1968-01-01,0.368860329
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1969,1969-01-01,6.006174966
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1970,1970-01-01,9.723472587
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1971,1971-01-01,5.216124557
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1972,1972-01-01,-2.487655402
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1973,1973-01-01,2.884584195
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1974,1974-01-01,6.852516832
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1975,1975-01-01,-12.43162902
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1976,1976-01-01,-3.530182806
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1977,1977-01-01,2.274107242
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1978,1978-01-01,8.475935602
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1979,1979-01-01,-2.51494142
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1980,1980-01-01,0.471695943
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1981,1981-01-01,-3.503066947
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1982,1982-01-01,-6.923650411
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1983,1983-01-01,-4.563737505
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1984,1984-01-01,8.647569457
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1985,1985-01-01,5.091617272
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1986,1986-01-01,5.19916068
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1987,1987-01-01,4.794898879
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1988,1988-01-01,5.628168764
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1989,1989-01-01,5.0858727
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1990,1990-01-01,3.328817883
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1991,1991-01-01,5.281826398
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1992,1992-01-01,3.87941908
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1993,1993-01-01,4.850000554
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1994,1994-01-01,3.299999739
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1995,1995-01-01,4.112418972
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1996,1996-01-01,4.602461156
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1997,1997-01-01,4.19635744
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1998,1998-01-01,4.700390784
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,1999,1999-01-01,4.399996825
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2000,2000-01-01,3.700000082
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2001,2001-01-01,4.000000128
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2002,2002-01-01,4.499999559
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2003,2003-01-01,5.200000133
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2004,2004-01-01,5.599999991
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2005,2005-01-01,5.900003819
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2006,2006-01-01,6.399912606
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2007,2007-01-01,4.346819104
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2008,2008-01-01,9.149798938
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2009,2009-01-01,4.844487052
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2010,2010-01-01,7.899711941
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2011,2011-01-01,14.04712358
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2012,2012-01-01,9.292789406
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2013,2013-01-01,7.312525017
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2014,2014-01-01,2.856240163
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2015,2015-01-01,2.120759338
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2016,2016-01-01,3.37346575
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2017,2017-01-01,8.128894881
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2018,2018-01-01,6.200077681
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2019,2019-01-01,6.507774794
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2020,2020-01-01,0.513941671
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2021,2021-01-01,5.076466435
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2022,2022-01-01,3.80484981
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2023,2023-01-01,3.140090998
Ghana,Annual GDP growth rate,NY.GDP.MKTP.KD.ZG,2024,2024-01-01,5.684872604
Ghana,Annual population groeth rate,SP.POP.GROW,1960,1960-01-01,NA
Ghana,Annual population groeth rate,SP.POP.GROW,1961,1961-01-01,2.852836957
